segment_index,from_point,to_point,length,min_clearance,nearest_obstacle_i,nearest_obstacle_j,nearest_obstacle_layer
0,0,1,9.604686356,0.016696347,-1,1,1
1,1,2,9.192388155,0.047106958,-1,1,1
2,2,3,6.103277808,0.066518500,-2,1,2
3,3,4,6.103277808,0.058459872,-2,2,2
4,4,5,8.276472679,0.058833916,-3,2,3
5,5,6,2.236067977,0.003521692,-3,2,3
6,6,7,4.301162634,0.086198240,-3,2,3
7,7,8,4.301162634,0.118477300,-3,3,3
8,8,9,2.236067977,0.028357697,-3,3,3
9,9,10,8.276472679,0.072938140,-4,3,4
10,10,11,7.905694150,0.031958704,-4,3,4
11,11,12,3.605551275,0.018609565,-4,4,4
12,12,13,4.924428901,0.195639186,-4,4,4
13,13,14,4.924428901,0.083883975,-5,4,5
14,14,15,9.300537619,0.011275553,-5,5,5
15,15,16,8.276472679,0.072210425,-6,5,6
16,16,17,2.236067977,0.020728581,-6,5,6
17,17,18,4.301162634,0.108561829,-6,5,6
18,18,19,4.301162634,0.096113711,-6,6,6
19,19,20,2.236067977,0.011150808,-6,6,6
20,20,21,8.276472679,0.064747018,-6,6,6
21,21,22,6.103277808,0.048677050,-7,6,7
22,22,23,6.103277808,0.076301321,-7,7,7
23,23,24,6.964194139,0.200614476,-8,7,8
24,24,25,11.510864433,0.008415541,-8,7,8
25,25,26,2.692582404,0.021288218,-8,8,8
26,26,27,7.629880298,0.157043183,-8,8,8
