turn_index,at_point,turn_deg,cards
0,1,28.960056694,6
1,2,12.611885147,3
2,3,0.000000000,0
3,4,9.975126720,2
4,5,1.548157699,1
5,6,8.972626615,2
6,7,0.000000000,0
7,8,8.972626615,2
8,9,1.548157699,1
9,10,9.678260053,2
10,11,1.005086005,1
11,12,9.727578551,2
12,13,0.000000000,0
13,14,12.291348763,3
14,15,11.236944259,3
15,16,1.548157699,1
16,17,8.972626615,2
17,18,0.000000000,0
18,19,8.972626615,2
19,20,1.548157699,1
20,21,9.975126720,2
21,22,0.000000000,0
22,23,13.954509173,3
23,24,13.342833698,3
24,25,12.578935237,3
25,26,14.270348297,3
