point_index,x,y,nearest_green_label
0,-10.000000000,5.773502692,1-6
1,-17.000000000,10.773502692,2-17
2,-22.000000000,21.773502692,2-16
3,-29.000000000,31.773502692,3-27
4,-31.000000000,36.773502692,3-26
5,-33.000000000,40.773502692,3-26
6,-37.000000000,45.773502692,4-37
7,-39.000000000,49.773502692,4-37
8,-42.000000000,56.773502692,4-36
9,-45.000000000,60.773502692,5-47
10,-48.000000000,64.773502692,5-47
11,-52.000000000,73.773502692,5-46
12,-55.000000000,77.773502692,5-46
13,-58.000000000,81.773502692,6-57
14,-61.000000000,88.773502692,6-56
15,-63.000000000,92.773502692,6-56
16,-67.000000000,97.773502692,7-67
17,-69.000000000,101.773502692,7-67
18,-71.000000000,106.773502692,7-66
19,-78.000000000,116.773502692,8-77
20,-82.000000000,125.773502692,8-76
21,-87.000000000,132.773502692,9-87
22,-89.000000000,135.773502692,9-87
23,-90.000000000,144.337567297,9-86
