segment_index,from_point,to_point,length,min_clearance,nearest_obstacle_i,nearest_obstacle_j,nearest_obstacle_layer
0,0,1,8.602325267,0.396184773,-1,1,1
1,1,2,12.083045974,0.081735446,-1,1,1
2,2,3,12.206555616,0.017498276,-2,2,2
3,3,4,5.385164807,0.249189091,-3,2,3
4,4,5,4.472135955,0.003521692,-3,2,3
5,5,6,6.403124237,0.306309213,-3,2,3
6,6,7,4.472135955,0.028357697,-3,3,3
7,7,8,7.615773106,0.248691422,-4,3,4
8,8,9,5.000000000,0.287187079,-4,3,4
9,9,10,5.000000000,0.105117767,-4,4,4
10,10,11,9.848857802,0.134651283,-5,4,5
11,11,12,5.000000000,0.094882233,-5,4,5
12,12,13,5.000000000,0.297422612,-5,5,5
13,13,14,7.615773106,0.255411378,-5,5,5
14,14,15,4.472135955,0.020728581,-6,5,6
15,15,16,6.403124237,0.317559395,-6,6,6
16,16,17,4.472135955,0.011150808,-6,6,6
17,17,18,5.385164807,0.253137143,-6,6,6
18,18,19,12.206555616,0.007715454,-7,6,7
19,19,20,9.848857802,0.125953198,-7,7,7
20,20,21,8.602325267,0.084635781,-8,8,8
21,21,22,3.605551275,0.036377890,-8,8,8
22,22,23,8.622250435,0.262911576,-8,8,8
