segment_index,from_point,to_point,length,min_clearance,nearest_obstacle_i,nearest_obstacle_j,nearest_obstacle_layer
0,0,1,9.323625904,0.040810964,-1,1,1
1,1,2,11.272976537,0.044139658,-2,1,2
2,2,3,10.568348972,0.031492804,-2,1,2
3,3,4,9.261209424,0.038419679,-3,2,3
4,4,5,2.163330765,0.004163469,-3,2,3
5,5,6,7.463243263,0.090153676,-3,2,3
6,6,7,10.868762579,0.005965537,-3,3,3
7,7,8,10.568348972,0.026119209,-4,4,4
8,8,9,4.295346319,0.125074066,-4,4,4
9,9,10,5.636488268,0.001975435,-5,4,5
10,10,11,3.661966685,0.088582907,-5,4,5
11,11,12,3.661966685,0.144217738,-5,5,5
12,12,13,2.441311123,0.036395465,-5,5,5
13,13,14,10.064790112,0.000201389,-6,5,6
14,14,15,9.044335244,0.043119458,-6,5,6
15,15,16,2.236067977,0.011150808,-6,6,6
16,16,17,8.276472679,0.064747018,-6,6,6
17,17,18,6.103277808,0.048677050,-7,6,7
18,18,19,3.661966685,0.076301321,-7,7,7
19,19,20,8.989994438,0.003699671,-7,7,7
20,20,21,2.012461180,0.002385600,-8,7,8
21,21,22,10.568348972,0.010241025,-8,8,8
22,22,23,0.948683298,0.135997853,-8,8,8
23,23,24,8.662170777,0.020266925,-8,8,8
