turn_index,at_point,turn_deg,cards
0,1,26.331013042,6
1,2,9.391165042,2
2,3,9.687519879,2
3,4,8.785298718,2
4,5,1.490631835,1
5,6,9.558703417,2
6,7,8.970292743,2
7,8,9.817148119,2
8,9,0.425983077,1
9,10,9.790896553,2
10,11,0.000000000,0
11,12,0.000000000,0
12,13,9.699999042,2
13,14,9.803795630,2
14,15,8.530765610,2
15,16,1.548157699,1
16,17,9.975126720,2
17,18,0.000000000,0
18,19,9.282066418,2
19,20,0.855097396,1
20,21,8.027237510,2
21,22,16.157339865,4
22,23,9.803510494,2
