point_index,x,y,nearest_green_label
0,-10.000000000,5.773502692,1-6
1,-17.500000000,11.773502692,2-17
2,-21.000000000,20.273502692,2-16
3,-24.500000000,25.273502692,2-16
4,-28.000000000,30.273502692,3-27
5,-31.500000000,37.773502692,3-26
6,-32.500000000,39.773502692,3-26
7,-35.000000000,43.273502692,3-26
8,-37.500000000,46.773502692,4-37
9,-38.500000000,48.773502692,4-37
10,-42.000000000,56.273502692,4-36
11,-46.500000000,62.773502692,5-47
12,-48.500000000,65.773502692,5-47
13,-50.500000000,70.273502692,5-46
14,-52.500000000,74.773502692,5-46
15,-58.000000000,82.273502692,6-57
16,-61.500000000,89.773502692,6-56
17,-62.500000000,91.773502692,6-56
18,-65.000000000,95.273502692,7-67
19,-67.500000000,98.773502692,7-67
20,-68.500000000,100.773502692,7-67
21,-72.000000000,108.273502692,7-66
22,-75.500000000,113.273502692,8-77
23,-79.000000000,118.273502692,8-77
24,-81.500000000,124.773502692,8-76
25,-88.000000000,134.273502692,9-87
26,-89.000000000,136.773502692,9-87
27,-90.000000000,144.337567297,9-86
