precision,method,source_file,layer,path_points_near_layer,turn_points_near_layer,cards_near_layer,turn_deg_near_layer
2.0m,full,labeled_corridor_result_g2.json,1,1,0,0,0.0
2.0m,full,labeled_corridor_result_g2.json,2,3,3,13,56.25223281627174
2.0m,full,labeled_corridor_result_g2.json,3,3,3,10,38.65980825409011
2.0m,full,labeled_corridor_result_g2.json,4,2,2,9,38.26707867314039
2.0m,full,labeled_corridor_result_g2.json,5,3,3,11,46.78991060824612
2.0m,full,labeled_corridor_result_g2.json,6,3,3,10,38.659808254090166
2.0m,full,labeled_corridor_result_g2.json,7,2,2,9,38.26707867314039
2.0m,full,labeled_corridor_result_g2.json,8,3,3,11,46.78991060824612
2.0m,full,labeled_corridor_result_g2.json,9,2,1,7,32.69076186888634
1.5m,full,labeled_corridor_result_g1p5.json,1,2,1,0,0.0
1.5m,full,labeled_corridor_result_g1p5.json,2,3,3,12,54.92001296240204
1.5m,full,labeled_corridor_result_g1p5.json,3,3,3,8,33.716797535476616
1.5m,full,labeled_corridor_result_g1p5.json,4,2,2,7,29.13252487263776
1.5m,full,labeled_corridor_result_g1p5.json,5,3,3,8,31.926886927230612
1.5m,full,labeled_corridor_result_g1p5.json,6,3,3,8,31.926886927230413
1.5m,full,labeled_corridor_result_g1p5.json,7,3,3,8,31.926886927230413
1.5m,full,labeled_corridor_result_g1p5.json,8,2,2,7,30.59466707336074
1.5m,full,labeled_corridor_result_g1p5.json,9,3,2,8,35.53767779197432
1.0m,full,labeled_corridor_result_g1.json,1,1,0,0,0.0
1.0m,full,labeled_corridor_result_g1.json,2,2,2,10,40.56643284575122
1.0m,full,labeled_corridor_result_g1.json,3,3,3,7,30.04900947994514
1.0m,full,labeled_corridor_result_g1.json,4,3,3,7,29.132524872637873
1.0m,full,labeled_corridor_result_g1.json,5,4,4,6,25.81481734253157
1.0m,full,labeled_corridor_result_g1.json,6,3,3,7,29.132524872637873
1.0m,full,labeled_corridor_result_g1.json,7,3,3,7,30.04900947994517
1.0m,full,labeled_corridor_result_g1.json,8,2,2,6,22.604720041376567
1.0m,full,labeled_corridor_result_g1.json,9,3,2,7,28.87758219995996
0.5m,full,labeled_corridor_result_g0p5.json,1,1,0,0,0.0
0.5m,full,labeled_corridor_result_g0p5.json,2,3,3,9,41.57194184054936
0.5m,full,labeled_corridor_result_g0p5.json,3,4,4,5,20.495911034332977
0.5m,full,labeled_corridor_result_g0p5.json,4,3,3,5,20.199044367008298
0.5m,full,labeled_corridor_result_g0p5.json,5,4,4,6,23.02401331952234
0.5m,full,labeled_corridor_result_g0p5.json,6,3,3,6,21.757728573219197
0.5m,full,labeled_corridor_result_g0p5.json,7,4,4,5,20.495911034333005
0.5m,full,labeled_corridor_result_g0p5.json,8,3,3,6,27.297342871559835
0.5m,full,labeled_corridor_result_g0p5.json,9,3,2,6,26.849283534310104
0.5m,refined,labeled_corridor_result_refined_g0p5.json,1,1,0,0,0.0
0.5m,refined,labeled_corridor_result_refined_g0p5.json,2,3,3,9,41.57194184054936
0.5m,refined,labeled_corridor_result_refined_g0p5.json,3,4,4,5,20.495911034332977
0.5m,refined,labeled_corridor_result_refined_g0p5.json,4,3,3,5,20.199044367008298
0.5m,refined,labeled_corridor_result_refined_g0p5.json,5,4,4,6,23.02401331952234
0.5m,refined,labeled_corridor_result_refined_g0p5.json,6,3,3,6,21.757728573219197
0.5m,refined,labeled_corridor_result_refined_g0p5.json,7,4,4,5,20.495911034333005
0.5m,refined,labeled_corridor_result_refined_g0p5.json,8,3,3,6,27.297342871559835
0.5m,refined,labeled_corridor_result_refined_g0p5.json,9,3,2,6,26.849283534310104
0.3m,refined,labeled_corridor_result_refined_g0p3.json,1,1,0,0,0.0
0.3m,refined,labeled_corridor_result_refined_g0p3.json,2,2,2,8,35.72217808441221
0.3m,refined,labeled_corridor_result_refined_g0p3.json,3,3,3,5,19.96345043256224
0.3m,refined,labeled_corridor_result_refined_g0p3.json,4,2,2,4,18.528996159537968
0.3m,refined,labeled_corridor_result_refined_g0p3.json,5,4,4,5,20.03402774840586
0.3m,refined,labeled_corridor_result_refined_g0p3.json,6,3,3,4,19.503794671542096
0.3m,refined,labeled_corridor_result_refined_g0p3.json,7,3,3,5,20.05405002938471
0.3m,refined,labeled_corridor_result_refined_g0p3.json,8,4,4,5,18.164401324446914
0.3m,refined,labeled_corridor_result_refined_g0p3.json,9,3,2,6,25.9608503581224
