precision,method,source_file,point_index,x,y,nearest_green_label,nearest_layer,turn_deg,cards_at_point
2.0m,full,labeled_corridor_result_g2.json,0,-10.0,5.773502691896257,1-6,1,,
2.0m,full,labeled_corridor_result_g2.json,1,-17.0,10.773502691896258,2-17,2,27.89727103094762,6
2.0m,full,labeled_corridor_result_g2.json,2,-19.0,14.773502691896258,2-17,2,8.130102354156037,2
2.0m,full,labeled_corridor_result_g2.json,3,-21.0,20.773502691896258,2-16,2,20.224859431168085,5
2.0m,full,labeled_corridor_result_g2.json,4,-29.0,30.773502691896258,3-27,3,20.224859431168056,5
2.0m,full,labeled_corridor_result_g2.json,5,-31.0,36.773502691896255,3-26,3,8.130102354156008,2
2.0m,full,labeled_corridor_result_g2.json,6,-33.0,40.773502691896255,3-26,3,10.304846468766044,3
2.0m,full,labeled_corridor_result_g2.json,7,-39.0,48.773502691896255,4-37,4,15.068488159492205,4
2.0m,full,labeled_corridor_result_g2.json,8,-43.0,58.773502691896255,4-36,4,23.198590513648185,5
2.0m,full,labeled_corridor_result_g2.json,9,-47.0,62.773502691896255,5-47,5,18.434948822921996,4
2.0m,full,labeled_corridor_result_g2.json,10,-49.0,66.77350269189625,5-47,5,8.130102354156037,2
2.0m,full,labeled_corridor_result_g2.json,11,-51.0,72.77350269189625,5-46,5,20.224859431168085,5
2.0m,full,labeled_corridor_result_g2.json,12,-59.0,82.77350269189625,6-57,6,20.224859431168085,5
2.0m,full,labeled_corridor_result_g2.json,13,-61.0,88.77350269189625,6-56,6,8.130102354156037,2
2.0m,full,labeled_corridor_result_g2.json,14,-63.0,92.77350269189625,6-56,6,10.304846468766044,3
2.0m,full,labeled_corridor_result_g2.json,15,-69.0,100.77350269189625,7-67,7,15.068488159492205,4
2.0m,full,labeled_corridor_result_g2.json,16,-73.0,110.77350269189625,7-66,7,23.198590513648185,5
2.0m,full,labeled_corridor_result_g2.json,17,-77.0,114.77350269189625,8-77,8,18.434948822921996,4
2.0m,full,labeled_corridor_result_g2.json,18,-79.0,118.77350269189625,8-77,8,8.130102354156037,2
2.0m,full,labeled_corridor_result_g2.json,19,-81.0,124.77350269189625,8-76,8,20.224859431168085,5
2.0m,full,labeled_corridor_result_g2.json,20,-89.0,134.77350269189625,9-87,9,32.69076186888634,7
2.0m,full,labeled_corridor_result_g2.json,21,-90.0,144.33756729740642,9-86,9,,
1.5m,full,labeled_corridor_result_g1p5.json,0,-10.0,5.773502691896257,1-6,1,,
1.5m,full,labeled_corridor_result_g1p5.json,1,-12.0,7.273502691896258,1-6,1,0.0,0
1.5m,full,labeled_corridor_result_g1p5.json,2,-18.0,11.773502691896258,2-17,2,34.695153531233956,7
1.5m,full,labeled_corridor_result_g1p5.json,3,-19.5,16.273502691896258,2-17,2,0.0,0
1.5m,full,labeled_corridor_result_g1p5.json,4,-21.0,20.773502691896258,2-16,2,20.224859431168085,5
1.5m,full,labeled_corridor_result_g1p5.json,5,-27.0,28.273502691896258,3-27,3,12.094757077012105,3
1.5m,full,labeled_corridor_result_g1p5.json,6,-28.5,31.273502691896258,3-27,3,4.763641690726217,1
1.5m,full,labeled_corridor_result_g1p5.json,7,-31.5,38.773502691896255,3-26,3,16.858398767738294,4
1.5m,full,labeled_corridor_result_g1p5.json,8,-37.5,46.273502691896255,4-37,4,15.461217740441896,4
1.5m,full,labeled_corridor_result_g1p5.json,9,-42.0,56.773502691896255,4-36,4,13.671307132195864,3
1.5m,full,labeled_corridor_result_g1p5.json,10,-46.5,62.773502691896255,5-47,5,3.1798301198643912,1
1.5m,full,labeled_corridor_result_g1p5.json,11,-49.5,67.27350269189625,5-47,5,11.888658039627984,3
1.5m,full,labeled_corridor_result_g1p5.json,12,-52.5,74.77350269189625,5-46,5,16.858398767738237,4
1.5m,full,labeled_corridor_result_g1p5.json,13,-58.5,82.27350269189625,6-57,6,16.858398767738237,4
